Account,ParentAccount,Functie,Romana
235,23,D,Investiţii imobiliare în curs de execuţie
26,2,D,Imobilizări financiare
261,26,D,Acţiuni deţinute la entităţile afiliate
262,26,D,Acţiuni deţinute la entităţi asociate
263,26,D,Acţiuni deţinute la entităţi controlate în comun
264,26,D,Titluri puse în echivalenţă
265,26,D,Alte titluri imobilizate
266,26,D,Certificate verzi amânate
267,26,D,Creanţe imobilizate
2671,267,D,Sume de încasat de la entităţile afiliate
2672,267,D,Dobânda aferentă sumelor de încasat de la entităţile afiliate
2673,267,D,Creanţe faţă de entităţile asociate şi entităţile controlate în comun
2674,267,D,Dobânda aferentă creanţelor faţă de entităţile asociate şi entităţile controlate în comun
2675,267,D,Împrumuturi acordate pe termen lung
2676,267,D,Dobânda aferentă împrumuturilor acordate pe termen lung
2677,267,D,Obligaţiuni achiziţionate cu ocazia emisiunilor efectuate de terți
2678,267,D,Alte creanţe imobilizate
2679,267,D,Dobânzi aferente altor creanţe imobilizate
269,26,D,Vărsăminte de efectuat pentru imobilizări financiare
2691,269,D,Vărsăminte de efectuat privind acţiunile deţinute la entităţile afiliate
2692,269,D,Vărsăminte de efectuat privind acţiunile deţinute la entităţi asociate
2693,269,D,Vărsăminte de efectuat privind acţiunile deţinute la entităţi controlate în comun
2695,269,D,Vărsăminte de efectuat pentru alte imobilizări financiare
28,2,C,Amortizări privind imobilizările
280,28,C,Amortizări privind imobilizările necorporale
2801,280,C,Amortizarea cheltuielilor de constituire
2803,280,C,Amortizarea cheltuielilor de dezvoltare
2805,280,C,"Amortizarea concesiunilor, brevetelor, licenţelor, mărcilor comerciale, drepturilor şi activelor similare"
2806,280,C,Amortizarea activelor necorporale de explorare şi evaluare a resurselor minerale
2807,280,C,Amortizarea fondului comercial
2808,280,C,Amortizarea altor imobilizări necorporale
281,28,C,Amortizări privind imobilizările corporale
2811,281,C,Amortizarea amenajărilor de terenuri
2812,281,C,Amortizarea construcţiilor
2813,281,C,Amortizarea instalaţiilor şi mijloacelor de transport
2814,281,C,Amortizarea altor imobilizări corporale
2815,281,C,Amortizarea investiţiilor imobiliare
2816,281,C,Amortizarea activelor corporale de explorare şi evaluare a resurselor minerale
2817,281,C,Amortizarea activelor biologice productive
29,2,C,Ajustări pentru deprecierea sau pierderea de valoare a imobilizărilor
290,29,C,Ajustări pentru deprecierea imobilizărilor necorporale
2903,290,C,Ajustări pentru deprecierea cheltuielilor de dezvoltare
2905,290,C,"Ajustări pentru deprecierea concesiunilor, brevetelor, licenţelor, mărcilor comerciale, drepturilor şi activelor similare"
2906,290,C,Ajustări pentru deprecierea activelor necorporale de explorare şi evaluare a resurselor minerale
2908,290,C,Ajustări pentru deprecierea altor imobilizări necorporale
291,29,C,Ajustări pentru deprecierea imobilizărilor corporale
2911,291,C,Ajustări pentru deprecierea terenurilor şi amenajărilor de terenuri
2912,291,C,Ajustări pentru deprecierea construcţiilor
2913,291,C,Ajustări pentru deprecierea instalaţiilor și mijloacelor de transport
2914,291,C,Ajustări pentru deprecierea altor imobilizări corporale
2915,291,C,Ajustări pentru deprecierea investiţiilor imobiliare
2916,291,C,Ajustări pentru deprecierea activelor corporale de explorare şi evaluare a resurselor minerale
2917,291,C,Ajustări pentru deprecierea activelor biologice productive
293,29,C,Ajustări pentru deprecierea imobilizărilor în curs de execuție
2931,293,C,Ajustări pentru deprecierea imobilizărilor corporale în curs de execuţie
2935,293,C,Ajustări pentru deprecierea investiţiilor imobiliare în curs de execuţie
296,29,C,Ajustări pentru pierderea de valoare a imobilizărilor financiare
2961,296,C,Ajustări pentru pierderea de valoare a acţiunilor deţinute la entităţile afiliate
2962,296,C,Ajustări pentru pierderea de valoare a acţiunilor deţinute la entităţi asociate şi entităţi controlate în comun
2963,296,C,Ajustări pentru pierderea de valoare a altor titluri imobilizate
2964,296,C,Ajustări pentru pierderea de valoare a sumelor de încasat de la entităţile afiliate
2965,296,C,Ajustări pentru pierderea de valoare a creanţelor faţă de entităţile asociate şi entităţile controlate în comun
2966,296,C,Ajustări pentru pierderea de valoare a împrumuturilor acordate pe termen lung
2968,296,C,Ajustări pentru pierderea de valoare a altor creanţe imobilizate
3,,D,- Conturi de stocuri şi producţie în curs de execuţie
30,3,D,Stocuri de materii prime şi materiale
301,30,D,Materii prime
302,30,D,Materiale consumabile
3021,302,D,Materiale auxiliare
3022,302,D,Combustibili
3023,302,D,Materiale pentru ambalat
3024,302,D,Piese de schimb
3025,302,D,Seminţe şi materiale de plantat
3026,302,D,Furaje
3028,302,D,Alte materiale consumabile
303,30,D,Materiale de natura obiectelor de inventar
308,30,B,Diferenţe de preţ la materii prime şi materiale
32,3,D,Stocuri în curs de aprovizionare
321,32,D,Materii prime în curs de aprovizionare
322,32,D,Materiale consumabile în curs de aprovizionare
323,32,D,Materiale de natura obiectelor de inventar în curs de aprovizionare
326,32,D,Active biologice de natura stocurilor în curs de aprovizionare
327,32,D,Mărfuri în curs de aprovizionare
328,32,B,Ambalaje în curs de aprovizionare
33,3,D,Producţie în curs de execuţie
331,33,D,Produse în curs de execuţie
332,33,D,Servicii în curs de execuţie
34,3,D,Produse
341,34,D,Semifabricate
345,34,D,Produse finite
346,34,D,Produse reziduale
347,34,D,Produse agricole
348,34,B,Diferenţe de preţ la produse
35,3,D,Stocuri aflate la terţi
351,35,D,Materii şi materiale aflate la terţi
354,35,D,Produse aflate la terţi
356,35,D,Active biologice de natura stocurilor aflate la terţi
357,35,D,Mărfuri aflate la terţi
358,35,D,Ambalaje aflate la terţi
36,3,D,Active biologice de natura stocurilor
361,36,D,Active biologice de natura stocurilor
368,36,B,Diferenţe de preţ la active biologice de natura stocurilor
37,3,D,Mărfuri
371,37,D,Mărfuri
378,37,B,Diferenţe de preţ la mărfuri
38,3,D,Ambalaje
381,38,D,Ambalaje
388,38,B,Diferenţe de preţ la ambalaje
39,3,C,Ajustări pentru deprecierea stocurilor şi producţiei în curs de execuţie
391,39,C,Ajustări pentru deprecierea materiilor prime
392,39,C,Ajustări pentru deprecierea materialelor
3921,392,C,Ajustări pentru deprecierea materialelor consumabile
3922,392,C,Ajustări pentru deprecierea materialelor de natura obiectelor de inventar
393,39,C,Ajustări pentru deprecierea producţiei în curs de execuţie
394,39,C,Ajustări pentru deprecierea produselor
3941,394,C,Ajustări pentru deprecierea semifabricatelor
3945,394,C,Ajustări pentru deprecierea produselor finite
3946,394,C,Ajustări pentru deprecierea produselor reziduale
3947,394,C,Ajustări pentru deprecierea produselor agricole
395,39,C,Ajustări pentru deprecierea stocurilor aflate la terţi
3951,395,C,Ajustări pentru deprecierea materiilor şi materialelor aflate la terţi
3952,395,C,Ajustări pentru deprecierea semifabricatelor aflate la terţi
3953,395,C,Ajustări pentru deprecierea produselor finite aflate la terţi
3954,395,C,Ajustări pentru deprecierea produselor reziduale aflate la terţi
3955,395,C,Ajustări pentru deprecierea produselor agricole aflate la terţi
3956,395,C,Ajustări pentru deprecierea activelor biologice de natura stocurilor aflate la terţi
3957,395,C,Ajustări pentru deprecierea mărfurilor aflate la terţi
3958,395,C,Ajustări pentru deprecierea ambalajelor aflate la terţi
396,39,C,Ajustări pentru deprecierea activelor biologice de natura stocurilor
397,39,C,Ajustări pentru deprecierea mărfurilor
398,39,C,Ajustări pentru deprecierea ambalajelor
4,,B,- Conturi de terţi
40,4,C,Furnizori şi conturi asimilate
401,40,C,Furnizori
403,40,C,Efecte de plătit
404,40,C,Furnizori de imobilizări
405,40,C,Efecte de plătit pentru imobilizări
408,40,C,Furnizori - facturi nesosite
409,40,D,Furnizori - debitori
4091,409,D,Furnizori-debitori pentru cumpărări de bunuri de natura stocurilor
4092,409,D,Furnizori-debitori pentru prestări de servicii
4093,409,D,Avansuri acordate pentru imobilizări corporale
4094,409,D,Avansuri acordate pentru imobilizări necorporale
41,4,D,Clienţi şi conturi asimilate
411,41,D,Clienţi
4111,411,D,Clienţi
4118,411,D,Clienţi incerţi sau în litigiu
413,41,D,Efecte de primit de la clienţi
418,41,D,Clienţi - facturi de întocmit
419,41,C,Clienţi – creditori
42,4,C,Personal şi conturi asimilate
421,42,C,Personal - salarii datorate
423,42,C,Personal - ajutoare materiale datorate
424,42,C,Prime reprezentând participarea personalului la profit14
425,42,D,Avansuri acordate personalului
426,42,C,Drepturi de personal neridicate
427,42,C,Reţineri din salarii datorate terţilor
428,42,B,Alte datorii şi creanţe în legătură cu personalul
4281,428,C,Alte datorii în legătură cu personalul
4282,428,D,Alte creanţe în legătură cu personalul
43,4,C,"Asigurări sociale, protecţia socială şi conturi asimilate"
431,43,C,Asigurări sociale
4311,431,C,Contribuţia unităţii la asigurările sociale
4312,431,C,Contribuţia personalului la asigurările sociale
4313,431,C,Contribuţia angajatorului pentru asigurările sociale de sănătate
4314,431,C,Contribuţia angajaţilor pentru asigurările sociale de sănătate
4315,431,C,Contribuţia de asigurări sociale
4316,431,C,Contribuţia de asigurări sociale de sănătate
4318,431,C,Alte contribuţii pentru asigurările sociale de sănătate
436,43,C,Contribuţia asiguratorie pentru muncă
437,43,C,Ajutor de şomaj
4371,437,C,Contribuţia unităţii la fondul de şomaj
4372,437,C,Contribuţia personalului la fondul de şomaj
438,43,B,Alte datorii şi creanţe sociale
4381,438,C,Alte datorii sociale
4382,438,D,Alte creanţe sociale
44,4,B,"Bugetul statului, fonduri speciale şi conturi asimilate"
441,44,B,Impozitul pe profit/venit
4411,441,B,Impozitul pe profit
4415,441,B,Impozitul specific unor activităţi
4417,441,B,Impozitul pe profit la nivelul impozitului minim pe cifra de afaceri
4418,441,B,Impozitul pe venit
442,44,B,Taxa pe valoarea adăugată
4423,442,C,TVA de plată
4424,442,D,TVA de recuperat
4426,442,D,TVA deductibilă
4427,442,C,TVA colectată
4428,442,B,TVA neexigibilă
444,44,C,Impozitul pe venituri de natura salariilor
445,44,D,Subvenţii
4451,445,D,Subvenţii guvernamentale
4452,445,D,Împrumuturi nerambursabile cu caracter de subvenţii
4458,445,D,Alte sume primite cu caracter de subvenţii
446,44,C,"Alte impozite, taxe şi vărsăminte asimilate"
447,44,C,Fonduri speciale - taxe şi vărsăminte asimilate
448,44,B,Alte datorii şi creanţe cu bugetul statului
4481,448,C,Alte datorii faţă de bugetul statului
4482,448,D,Alte creanţe privind bugetul statului
45,4,B,Grup şi actionari / asociaţi
451,45,B,Decontări între entităţile afiliate
4511,451,B,Decontări între entităţile afiliate
4518,451,B,Dobânzi aferente decontărilor între entităţile afiliate
453,45,B,Decontări cu entitățile asociate și entitățile controlate în comun
4531,453,B,Decontări cu entitățile asociate și entitățile controlate
4538,453,B,Dobânzi aferente decontărilor cu entitățile asociate și entitățile controlate în comun
455,45,C,Sume datorate acţionarilor/asociaţilor
4551,455,C,Acţionari/asociaţi – conturi curente
4558,455,C,Acţionari/asociaţi – dobânzi la conturi curente
456,45,B,Decontări cu acţionarii/asociaţii privind capitalul
457,45,C,Dividende de plată
458,45,B,Decontări din operaţii în participaţie
4581,458,C,Decontări din operaţii în participaţie - pasiv
4582,458,D,Decontări din operaţii în participaţie - activ
46,4,B,Debitori şi creditori diverşi
461,46,D,Debitori diverşi
462,46,C,Creditori diverşi
463,46,D,Creanţe reprezentând dividende repartizate în cursul exerciţiului financiar
466,46,B,Decontări din operaţiuni de fiducie
4661,466,C,Datorii din operaţiuni de fiducie
4662,466,D,Creanţe din operaţiuni de fiducie
467,46,C,Datorii aferente distribuirior interimare de dividende
47,4,B,"Conturi de subvenţii, regularizare şi asimilate"
471,47,D,Cheltuieli înregistrate în avans
472,47,C,Venituri înregistrate în avans
473,47,B,Decontări din operaţii în curs de clarificare
475,47,C,Subvenţii pentru investiţii
4751,475,C,Subvenţii guvernamentale pentru investiţii
4752,475,C,Împrumuturi nerambursabile cu caracter de subvenţii pentru investiţii
4753,475,C,Donaţii pentru investiţii
4754,475,C,Plusuri de inventar de natura imobilizărilor
4758,475,C,Alte sume primite cu caracter de subvenţii pentru investiţii
478,47,C,Venituri în avans aferente activelor primite prin transfer de la clienţi
48,4,B,Decontări în cadrul unităţii
481,48,B,Decontări între unitate şi subunităţi
482,48,B,Decontări între subunităţi
49,4,C,Ajustări pentru deprecierea creanţelor
490,49,C,Ajustări pentru deprecierea creanţelor reprezentând avansuri acordate furnizorilor
4901,490,C,Ajustări pentru deprecierea creanţelor aferente cumpărărilor de bunuri de natura stocurilor
4902,490,C,Ajustări pentru deprecierea creanţelor aferente prestărilor de servicii
