Account,ParentAccount,Functie,Romana
6868,686,D,Cheltuieli financiare privind amortizarea primelor de rambursare a obligaţiunilor şi a altor datorii
69,6,D,Cheltuieli cu impozitul pe profit şi alte impozite
691,69,D,Cheltuieli cu impozitul pe profit
694,69,D,Cheltuieli cu impozitul pe profit rezultat din decontarile in cadrul grupului fiscal in domeniul impozitului pe profit
695,69,D,Cheltuieli cu impozitul specific unor activităţi
697,69,D,Cheltuieli cu impozitul pe profit la nivelul impozitului minim pe cifra de afaceri
698,69,D,Cheltuieli cu impozitul pe venit şi cu alte impozite care nu apar în elementele de mai sus
7,,C,Conturi de venituri
70,7,C,Cifra de afaceri netă
701,70,C,"Venituri din vânzarea produselor finite, produselor agricole şi a activelor biologice de natura stocurilor"
7015,701,C,Venituri din vânzarea produselor finite
7017,701,C,Venituri din vânzarea produselor agricole
7018,701,C,Venituri din vânzarea activelor biologice de natura stocurilor
702,70,C,Venituri din vânzarea semifabricatelor
703,70,C,Venituri din vânzarea produselor reziduale
704,70,C,Venituri din servicii prestate
705,70,C,Venituri din studii şi cercetări
706,70,C,"Venituri din redevenţe, locaţii de gestiune şi chirii"
707,70,C,Venituri din vânzarea mărfurilor
708,70,C,Venituri din activităţi diverse
709,70,D,Reduceri comerciale acordate
71,7,C,Venituri aferente costului de producţie în curs de execuţie
711,71,C,Venituri aferente costurilor stocurilor de produse
712,71,C,Venituri aferente costurilor serviciilor în curs de execuţie
72,7,C,Venituri din producţia de imobilizări
721,72,C,Venituri din producţia de imobilizări necorporale
722,72,C,Venituri din producţia de imobilizări corporale
725,72,C,Venituri din producţia de investiţii imobiliare
74,7,C,Venituri din subvenţii de exploatare
741,74,C,Venituri din subvenţii de exploatare
7411,741,C,Venituri din subvenţii de exploatare aferente cifrei de afaceri20
7412,741,C,Venituri din subvenţii de exploatare pentru materii prime şi materiale
7413,741,C,Venituri din subvenţii de exploatare pentru alte cheltuieli externe
7414,741,C,Venituri din subvenţii de exploatare pentru plata personalului
7415,741,C,Venituri din subvenţii de exploatare pentru asigurări şi protecţie socială
7416,741,C,Venituri din subvenţii de exploatare pentru alte cheltuieli de exploatare
7417,741,C,Venituri din subvenţii de exploatare în caz de calamităţi şi alte evenimente similare
7418,741,C,Venituri din subvenţii de exploatare pentru dobânda datorată
7419,741,C,Venituri din subvenţii de exploatare aferente altor venituri
75,7,C,Alte venituri din exploatare
751,75,C,Venituri din operaţiuni de fiducie
7511,751,C,Venituri ocazionate de constituirea fiduciei
7512,751,C,Venituri din derularea operaţiunilor de fiducie
7513,751,C,Venituri din lichidarea operaţiunilor de fiducie
754,75,C,Venituri din creanţe reactivate şi debitori diverşi
755,75,C,Venituri din reevaluarea imobilizărilor corporale
758,75,C,Alte venituri din exploatare
7581,758,C,"Venituri din despăgubiri, amenzi şi penalităţi"
7582,758,C,Venituri din donaţii primite
7583,758,C,Venituri din vânzarea activelor şi alte operaţiuni de capital
7584,758,C,Venituri din subvenţii pentru investiţii
7586,758,C,Venituri reprezentând transferuri cuvenite în baza unor acte normative speciale
7588,758,C,Alte venituri din exploatare
76,7,C,Venituri financiare
761,76,C,Venituri din imobilizări financiare
7611,761,C,Venituri din acţiuni deţinute la entităţile afiliate
7612,761,C,Venituri din acţiuni deţinute la entităţi asociate
7613,761,C,Venituri din acţiuni deţinute la entităţi controlate în comun
7615,761,C,Venituri din alte imobilizări financiare
762,76,C,Venituri din investiţii financiare pe termen scurt
764,76,C,Venituri din investiţii financiare cedate
7641,764,C,Venituri din imobilizări financiare cedate
7642,764,C,Câştiguri din investiţii pe termen scurt cedate
765,76,C,Venituri din diferenţe de curs valutar
7651,765,C,Diferenţe favorabile de curs valutar legate de elementele monetare exprimate în valută
7652,765,C,Diferenţe favorabile de curs valutar din evaluarea elementelor monetare care fac parte din investiţia netă într-o entitate străină
766,76,C,Venituri din dobânzi
767,76,C,Venituri din sconturi obţinute
768,76,C,Alte venituri financiare
78,7,C,"Venituri din provizioane, amortizări şi ajustări pentru depreciere sau pierdere de valoare"
781,78,C,Venituri din provizioane şi ajustări pentru depreciere privind activitatea de exploatare
7812,781,C,Venituri din provizioane
7813,781,C,Venituri din ajustări pentru deprecierea imobilizărilor
7814,781,C,Venituri din ajustări pentru deprecierea activelor circulante
7815,781,C,Venituri din fondul comercial negativ
7818,781,C,Venituri din ajustări pentru deprecierea creanţelor reprezentând avansuri acordate furnizorilor
786,78,C,Venituri financiare din amortizări şi ajustări pentru pierdere de valoare
7863,786,C,Venituri financiare din ajustări pentru pierderea de valoare a imobilizărilor financiare
7864,786,C,Venituri financiare din ajustări pentru pierderea de valoare a activelor circulante
7865,786,C,Venituri financiare din amortizarea diferenţelor aferente titlurilor de stat
79,7,C,Venituri din impozitul pe profit
794,79,C,Venituri din impozitul pe profit rezultat din decontarile in cadrul grupului fiscal in domeniul impozitului pe profit
8,,B,Conturi speciale
80,8,B,Conturi în afara bilanţului
801,80,D,Angajamente acordate
8011,801,D,Giruri şi garanţii acordate
8018,801,D,Alte angajamente acordate
802,80,C,Angajamente primite
8021,802,C,Giruri şi garanţii primite
8028,802,C,Alte angajamente primite
803,80,D,Alte conturi în afara bilanţului
8031,803,D,Imobilizări corporale luate cu chirie
8032,803,D,Valori materiale primite spre prelucrare sau reparare
8033,803,D,Valori materiale primite în păstrare sau custodie
8034,803,D,"Debitori scoşi din activ, urmăriţi în continuare"
8035,803,D,Stocuri de natura obiectelor de inventar date în folosinţă
8036,803,D,"Redevenţe, locaţii de gestiune, chirii şi alte datorii asimilate"
8037,803,D,Efecte scontate neajunse la scadenţă
8038,803,D,"Bunuri primite în administrare, concesiune şi cu chirie"
8039,803,D,Alte valori în afara bilanţului
804,80,D,Certificate verzi
805,80,D,"Dobânzi aferente contractelor de leasing şi altor contracte asimilate, neajunse la scadenţă"
8051,805,D,Dobânzi de plătit
8052,805,D,Dobânzi de încasat
806,80,D,Certificate de emisii de gaze cu efect de seră
807,80,D,Active contingente
808,80,C,Datorii contingente
809,80,D,Creanţe preluate prin cesionare
89,8,B,Bilanţ
891,89,B,Bilanţ de deschidere
892,89,B,Bilanţ de închidere
9,,B,Conturi de gestiune
90,9,B,Decontări interne
901,90,B,Decontări interne privind cheltuielile
902,90,B,Decontări interne privind producţia obţinută
903,90,B,Decontări interne privind diferenţele de preţ
92,9,D,Conturi de calculaţie
921,92,D,Cheltuielile activităţii de bază
922,92,D,Cheltuielile activităţilor auxiliare
923,92,D,Cheltuieli indirecte de producţie
924,92,D,Cheltuieli generale de administraţie
925,92,D,Cheltuieli de desfacere
93,9,D,Costul producţiei
931,93,D,Costul producţiei obţinute
933,93,D,Costul producţiei în curs de execuţie
