ID_GEST_DEFA_NOTA_CONT|ID_GEST_DEFA_DOCUM|ID_GEST_TIP_MATERIAL|CONT_DEBITOR|CONT_CREDITOR|FORMULA|CONDITIE|COD_ECONOMIC|COD_FUNCTIONAL|SEMN_ITEMS
1132|265|1129|206|404.01.00|NULL|NULL|NULL|NULL|NULL
1133|265|1134|2081.1.01.1|404.01.00|NULL|NULL|NULL|NULL|NULL
1134|265|1135|2081.1.01.2|404.01.00|NULL|NULL|NULL|NULL|NULL
1135|265|1136|2081.1.01.3|404.01.00|NULL|NULL|NULL|NULL|NULL
1136|265|1137|2081.1.02|404.01.00|NULL|NULL|NULL|NULL|NULL
1137|265|1139|2081.1.03.1|404.01.00|NULL|NULL|NULL|NULL|NULL
1138|265|1140|2081.1.03.2|404.01.00|NULL|NULL|NULL|NULL|NULL
1139|265|1141|2081.1.03.3|404.01.00|NULL|NULL|NULL|NULL|NULL
1140|265|1143|2081.1.04.1|404.01.00|NULL|NULL|NULL|NULL|NULL
1141|265|1144|2081.1.04.2|404.01.00|NULL|NULL|NULL|NULL|NULL
1142|265|1145|2081.1.04.3|404.01.00|NULL|NULL|NULL|NULL|NULL
1143|265|1146|2081.1.05|404.01.00|NULL|NULL|NULL|NULL|NULL
1144|265|1147|2081.2|404.01.00|NULL|NULL|NULL|NULL|NULL
1145|265|1151|2082.1.01.1|404.01.00|NULL|NULL|NULL|NULL|NULL
1146|265|1152|2082.1.01.2|404.01.00|NULL|NULL|NULL|NULL|NULL
1147|265|1153|2082.1.01.3|404.01.00|NULL|NULL|NULL|NULL|NULL
1148|265|1155|2082.1.03.1|404.01.00|NULL|NULL|NULL|NULL|NULL
1149|265|1156|2082.1.03.2|404.01.00|NULL|NULL|NULL|NULL|NULL
1150|265|1157|2082.1.03.3|404.01.00|NULL|NULL|NULL|NULL|NULL
1151|265|1158|2082.1.04|404.01.00|NULL|NULL|NULL|NULL|NULL
1152|265|1159|2082.2|404.01.00|NULL|NULL|NULL|NULL|NULL
1153|265|1162|2111|404.01.00|NULL|NULL|NULL|NULL|NULL
1154|265|1164|2112.01|404.01.00|NULL|NULL|NULL|NULL|NULL
1155|265|1167|212.01.1|404.01.00|NULL|NULL|NULL|NULL|NULL
1156|265|1168|212.01.2|404.01.00|NULL|NULL|NULL|NULL|NULL
1157|265|1169|212.01.3|404.01.00|NULL|NULL|NULL|NULL|NULL
1158|265|1172|212.01.4.01.1|404.01.00|NULL|NULL|NULL|NULL|NULL
1159|265|1173|212.01.4.01.2|404.01.00|NULL|NULL|NULL|NULL|NULL
1160|265|1174|212.01.4.01.3|404.01.00|NULL|NULL|NULL|NULL|NULL
1161|265|1176|212.01.4.03.1|404.01.00|NULL|NULL|NULL|NULL|NULL
1162|265|1177|212.01.4.03.2|404.01.00|NULL|NULL|NULL|NULL|NULL
1163|265|1178|212.01.4.03.3|404.01.00|NULL|NULL|NULL|NULL|NULL
1164|265|1180|212.01.4.05.1|404.01.00|NULL|NULL|NULL|NULL|NULL
1165|265|1181|212.01.4.05.2|404.01.00|NULL|NULL|NULL|NULL|NULL
1166|265|1182|212.01.4.05.3|404.01.00|NULL|NULL|NULL|NULL|NULL
1167|265|1184|212.01.4.07.1|404.01.00|NULL|NULL|NULL|NULL|NULL
1168|265|1185|212.01.4.07.2|404.01.00|NULL|NULL|NULL|NULL|NULL
1169|265|1186|212.01.4.07.3|404.01.00|NULL|NULL|NULL|NULL|NULL
1170|265|1188|212.01.4.08.1|404.01.00|NULL|NULL|NULL|NULL|NULL
1171|265|1189|212.01.4.08.2|404.01.00|NULL|NULL|NULL|NULL|NULL
1172|265|1190|212.01.4.08.3|404.01.00|NULL|NULL|NULL|NULL|NULL
1173|265|1191|212.01.4.09|404.01.00|NULL|NULL|NULL|NULL|NULL
1174|265|1193|212.01.4.10.1|404.01.00|NULL|NULL|NULL|NULL|NULL
1175|265|1194|212.01.4.10.2|404.01.00|NULL|NULL|NULL|NULL|NULL
1176|265|1195|212.01.4.11|404.01.00|NULL|NULL|NULL|NULL|NULL
1177|265|1197|212.02.1|404.01.00|NULL|NULL|NULL|NULL|NULL
1178|265|1198|212.02.2|404.01.00|NULL|NULL|NULL|NULL|NULL
1179|265|1199|212.02.3|404.01.00|NULL|NULL|NULL|NULL|NULL
1180|265|1202|212.02.4.01.1|404.01.00|NULL|NULL|NULL|NULL|NULL
1181|265|1203|212.02.4.01.2|404.01.00|NULL|NULL|NULL|NULL|NULL
1182|265|1204|212.02.4.01.3|404.01.00|NULL|NULL|NULL|NULL|NULL
1183|265|1206|212.02.4.03.1|404.01.00|NULL|NULL|NULL|NULL|NULL
1184|265|1207|212.02.4.03.2|404.01.00|NULL|NULL|NULL|NULL|NULL
1185|265|1208|212.02.4.03.3|404.01.00|NULL|NULL|NULL|NULL|NULL
1186|265|1210|212.02.4.05.1|404.01.00|NULL|NULL|NULL|NULL|NULL
1187|265|1211|212.02.4.05.2|404.01.00|NULL|NULL|NULL|NULL|NULL
1188|265|1212|212.02.4.05.3|404.01.00|NULL|NULL|NULL|NULL|NULL
1189|265|1214|212.02.4.07.1|404.01.00|NULL|NULL|NULL|NULL|NULL
1190|265|1215|212.02.4.07.2|404.01.00|NULL|NULL|NULL|NULL|NULL
1191|265|1216|212.02.4.07.3|404.01.00|NULL|NULL|NULL|NULL|NULL
1192|265|1218|212.02.4.08.1|404.01.00|NULL|NULL|NULL|NULL|NULL
1193|265|1219|212.02.4.08.2|404.01.00|NULL|NULL|NULL|NULL|NULL
1194|265|1220|212.02.4.08.3|404.01.00|NULL|NULL|NULL|NULL|NULL
1195|265|1221|212.02.4.09|404.01.00|NULL|NULL|NULL|NULL|NULL
1196|265|1223|212.02.4.10.1|404.01.00|NULL|NULL|NULL|NULL|NULL
1197|265|1224|212.02.4.10.2|404.01.00|NULL|NULL|NULL|NULL|NULL
1198|265|1225|212.02.4.11|404.01.00|NULL|NULL|NULL|NULL|NULL
1199|265|1230|2131.01.01.1|404.01.00|NULL|NULL|NULL|NULL|NULL
1200|265|1231|2131.01.01.2|404.01.00|NULL|NULL|NULL|NULL|NULL
1201|265|1232|2131.01.01.3|404.01.00|NULL|NULL|NULL|NULL|NULL
1202|265|1233|2131.01.02|404.01.00|NULL|NULL|NULL|NULL|NULL
1203|265|1235|2131.01.03.1|404.01.00|NULL|NULL|NULL|NULL|NULL
1204|265|1236|2131.01.03.2|404.01.00|NULL|NULL|NULL|NULL|NULL
1205|265|1237|2131.01.03.3|404.01.00|NULL|NULL|NULL|NULL|NULL
1206|265|1239|2131.01.04.1|404.01.00|NULL|NULL|NULL|NULL|NULL
1207|265|1240|2131.01.04.2|404.01.00|NULL|NULL|NULL|NULL|NULL
1208|265|1241|2131.01.04.3|404.01.00|NULL|NULL|NULL|NULL|NULL
1209|265|1242|2131.01.05|404.01.00|NULL|NULL|NULL|NULL|NULL
1210|265|1243|2131.02|404.01.00|NULL|NULL|NULL|NULL|NULL
1211|265|1247|2132.01.01.1|404.01.00|NULL|NULL|NULL|NULL|NULL
1212|265|1248|2132.01.01.2|404.01.00|NULL|NULL|NULL|NULL|NULL
1213|265|1249|2132.01.01.3|404.01.00|NULL|NULL|NULL|NULL|NULL
1214|265|1250|2132.01.02|404.01.00|NULL|NULL|NULL|NULL|NULL
1215|265|1252|2132.01.03.1|404.01.00|NULL|NULL|NULL|NULL|NULL
1216|265|1253|2132.01.03.2|404.01.00|NULL|NULL|NULL|NULL|NULL
1217|265|1254|2132.01.03.3|404.01.00|NULL|NULL|NULL|NULL|NULL
1218|265|1256|2132.01.04.1|404.01.00|NULL|NULL|NULL|NULL|NULL
1219|265|1257|2132.01.04.2|404.01.00|NULL|NULL|NULL|NULL|NULL
1220|265|1258|2132.01.04.3|404.01.00|NULL|NULL|NULL|NULL|NULL
1221|265|1260|2132.01.05.1|404.01.00|NULL|NULL|NULL|NULL|NULL
1222|265|1261|2132.01.05.2|404.01.00|NULL|NULL|NULL|NULL|NULL
1223|265|1262|2132.01.05.3|404.01.00|NULL|NULL|NULL|NULL|NULL
1224|265|1263|2132.02|404.01.00|NULL|NULL|NULL|NULL|NULL
1225|265|1267|2133.01.01.1|404.01.00|NULL|NULL|NULL|NULL|NULL
1226|265|1268|2133.01.01.2|404.01.00|NULL|NULL|NULL|NULL|NULL
1227|265|1269|2133.01.01.3|404.01.00|NULL|NULL|NULL|NULL|NULL
1228|265|1270|2133.01.02|404.01.00|NULL|NULL|NULL|NULL|NULL
1229|265|1272|2133.01.03.1|404.01.00|NULL|NULL|NULL|NULL|NULL
1230|265|1273|2133.01.03.2|404.01.00|NULL|NULL|NULL|NULL|NULL
1231|265|1274|2133.01.03.3|404.01.00|NULL|NULL|NULL|NULL|NULL
1232|265|1276|2133.01.04.1|404.01.00|NULL|NULL|NULL|NULL|NULL
1233|265|1277|2133.01.04.2|404.01.00|NULL|NULL|NULL|NULL|NULL
1234|265|1278|2133.01.04.3|404.01.00|NULL|NULL|NULL|NULL|NULL
1235|265|1279|2133.01.05|404.01.00|NULL|NULL|NULL|NULL|NULL
1236|265|1280|2133.02|404.01.00|NULL|NULL|NULL|NULL|NULL
1237|265|1281|2134|404.01.00|NULL|NULL|NULL|NULL|NULL
1238|265|1285|214.01.01.1|404.01.00|NULL|NULL|NULL|NULL|NULL
1239|265|1286|214.01.01.2|404.01.00|NULL|NULL|NULL|NULL|NULL
1240|265|1287|214.01.01.3|404.01.00|NULL|NULL|NULL|NULL|NULL
1241|265|1288|214.01.02|404.01.00|NULL|NULL|NULL|NULL|NULL
1242|265|1290|214.01.03.1|404.01.00|NULL|NULL|NULL|NULL|NULL
1243|265|1291|214.01.03.2|404.01.00|NULL|NULL|NULL|NULL|NULL
1244|265|1292|214.01.03.3|404.01.00|NULL|NULL|NULL|NULL|NULL
1245|265|1294|214.01.04.1|404.01.00|NULL|NULL|NULL|NULL|NULL
1246|265|1295|214.01.04.2|404.01.00|NULL|NULL|NULL|NULL|NULL
1247|265|1296|214.01.04.3|404.01.00|NULL|NULL|NULL|NULL|NULL
1248|265|1298|214.01.05.1|404.01.00|NULL|NULL|NULL|NULL|NULL
1249|265|1299|214.01.05.2|404.01.00|NULL|NULL|NULL|NULL|NULL
1250|265|1300|214.01.05.3|404.01.00|NULL|NULL|NULL|NULL|NULL
1251|265|1301|214.02|404.01.00|NULL|NULL|NULL|NULL|NULL
1252|265|1304|215.02|404.01.00|NULL|NULL|NULL|NULL|NULL
1253|265|1305|215.03|404.01.00|NULL|NULL|NULL|NULL|NULL
1254|265|1306|215.04|404.01.00|NULL|NULL|NULL|NULL|NULL
1255|265|1307|215.05|404.01.00|NULL|NULL|NULL|NULL|NULL
1256|265|1312|231 00 00 02A|404.01.00|NULL|NULL|NULL|NULL|NULL
1257|265|1313|231 00 00 02A|404.01.00|NULL|NULL|NULL|NULL|NULL
1258|265|1314|231 00 00 02A|404.01.00|NULL|NULL|NULL|NULL|NULL
1259|265|1315|231.01.1.4.0|404.01.00|NULL|NULL|NULL|NULL|NULL
1260|265|1318|231.02.01.1|404.01.00|NULL|NULL|NULL|NULL|NULL
1261|265|1319|231.02.01.2|404.01.00|NULL|NULL|NULL|NULL|NULL
1262|265|1320|231.02.01.3|404.01.00|NULL|NULL|NULL|NULL|NULL
1263|265|1322|232.03|404.01.00|NULL|NULL|NULL|NULL|NULL
1264|265|1323|233|404.01.00|NULL|NULL|NULL|NULL|NULL
1265|265|1324|234|404.01.00|NULL|NULL|NULL|NULL|NULL
1266|265|1303|215.01|404.01.00|NULL|NULL|NULL|NULL|NULL
1277|265|1526|231 00 00 02A|404.01.00||NULL||NULL|NULL
1305|207|900|602 08 00 02A|302 08 00 02A 01||NULL||NULL|NULL
1306|207|898|602 08 00 02A|3028.04||NULL||NULL|NULL
1307|207|901|602 08 00 02A|302 08 00 02A 03||NULL||NULL|NULL
1308|207|909|602 08 00 02A|302 08 00 02A 02||NULL||NULL|NULL
1309|207|910|6028.06|3028.06||NULL||NULL|NULL
1345|6|1543|610.00.00|401.01.00|NULL|NULL||NULL|NULL
1389|6|1548|629.01.00|401.01.00|NULL|NULL||NULL|NULL
1390|6|1549|612.00.00|401.01.00|NULL|NULL||NULL|NULL
1391|6|1550|628.00.00|401.01.00||NULL||NULL|NULL
1392|6|1551|602.04.00|401.01.00|NULL|NULL||NULL|NULL
1393|6|1552|622.00.00|401.01.00|NULL|NULL||NULL|NULL
1394|6|1553|626.00.00|401.01.00|NULL|NULL||NULL|NULL
1395|6|1554|613.00.00|471.00.00|NULL|NULL||NULL|NULL
1397|6|1556|623.00.00|401.01.00|NULL|NULL||NULL|NULL
1398|6|1557|654.00.00|401.01.00|NULL|NULL||NULL|NULL
1399|6|1558|614.00.00|401.01.00|NULL|NULL||NULL|NULL
1412|6|1566|679.00.00|401.01.00|NULL|NULL||NULL|NULL
1424|50|1543|610 00 00 02A|401.01.00||NULL||NULL|NULL
1425|225|1548|629 01 00 02A|401.01.00||||NULL|NULL
1437|282|1573|411 01 01 02A 01|448 01 00 02A 02||NULL||NULL|NULL
1438|282|1580|411 01 01 02A 01|442 08 01 02A||NULL||NULL|NULL
1439|282|1577|461 01 09 02A 15|448 01 00 02A 09||NULL||NULL|NULL
1440|283|1573|411.01.01|448.01.00||NULL||NULL|NULL
1453|286|1583|471 00 00 02A 03|401.01.00||NULL||NULL|NULL
1457|293|1555|602.02.00|401.01.00||NULL||NULL|NULL
1458|293|1551|602.04.00|401.01.00||NULL||NULL|NULL
1459|293|1542|602.08.00|401.01.00||NULL||NULL|NULL
