ID_GEST_DEFA_NOTA_CONT|ID_GEST_DEFA_DOCUM|ID_GEST_TIP_MATERIAL|CONT_DEBITOR|CONT_CREDITOR|FORMULA|CONDITIE|COD_ECONOMIC|COD_FUNCTIONAL|SEMN_ITEMS
986|261|1173|212.01.4.01.2|404.01.00|NULL|NULL|NULL|NULL|NULL
987|261|1174|212.01.4.01.3|404.01.00|NULL|NULL|NULL|NULL|NULL
988|261|1176|212.01.4.03.1|404.01.00|NULL|NULL|NULL|NULL|NULL
989|261|1177|212.01.4.03.2|404.01.00|NULL|NULL|NULL|NULL|NULL
990|261|1178|212.01.4.03.3|404.01.00|NULL|NULL|NULL|NULL|NULL
991|261|1180|212.01.4.05.1|404.01.00|NULL|NULL|NULL|NULL|NULL
992|261|1181|212.01.4.05.2|404.01.00|NULL|NULL|NULL|NULL|NULL
993|261|1182|212.01.4.05.3|404.01.00|NULL|NULL|NULL|NULL|NULL
994|261|1184|212.01.4.07.1|404.01.00|NULL|NULL|NULL|NULL|NULL
995|261|1185|212.01.4.07.2|404.01.00|NULL|NULL|NULL|NULL|NULL
996|261|1186|212.01.4.07.3|404.01.00|NULL|NULL|NULL|NULL|NULL
997|261|1188|212.01.4.08.1|404.01.00|NULL|NULL|NULL|NULL|NULL
998|261|1189|212.01.4.08.2|404.01.00|NULL|NULL|NULL|NULL|NULL
999|261|1190|212.01.4.08.3|404.01.00|NULL|NULL|NULL|NULL|NULL
1000|261|1191|212.01.4.09|404.01.00|NULL|NULL|NULL|NULL|NULL
1001|261|1193|212.01.4.10.1|404.01.00|NULL|NULL|NULL|NULL|NULL
1002|261|1194|212.01.4.10.2|404.01.00|NULL|NULL|NULL|NULL|NULL
1003|261|1195|212.01.4.11|404.01.00|NULL|NULL|NULL|NULL|NULL
1004|261|1197|212.02.1|404.01.00|NULL|NULL|NULL|NULL|NULL
1005|261|1198|212.02.2|404.01.00|NULL|NULL|NULL|NULL|NULL
1006|261|1199|212.02.3|404.01.00|NULL|NULL|NULL|NULL|NULL
1007|261|1202|212.02.4.01.1|404.01.00|NULL|NULL|NULL|NULL|NULL
1008|261|1203|212.02.4.01.2|404.01.00|NULL|NULL|NULL|NULL|NULL
1009|261|1204|212.02.4.01.3|404.01.00|NULL|NULL|NULL|NULL|NULL
1010|261|1206|212.02.4.03.1|404.01.00|NULL|NULL|NULL|NULL|NULL
1011|261|1207|212.02.4.03.2|404.01.00|NULL|NULL|NULL|NULL|NULL
1012|261|1208|212.02.4.03.3|404.01.00|NULL|NULL|NULL|NULL|NULL
1013|261|1210|212.02.4.05.1|404.01.00|NULL|NULL|NULL|NULL|NULL
1014|261|1211|212.02.4.05.2|404.01.00|NULL|NULL|NULL|NULL|NULL
1015|261|1212|212.02.4.05.3|404.01.00|NULL|NULL|NULL|NULL|NULL
1016|261|1214|212.02.4.07.1|404.01.00|NULL|NULL|NULL|NULL|NULL
1017|261|1215|212.02.4.07.2|404.01.00|NULL|NULL|NULL|NULL|NULL
1018|261|1216|212.02.4.07.3|404.01.00|NULL|NULL|NULL|NULL|NULL
1019|261|1218|212.02.4.08.1|404.01.00|NULL|NULL|NULL|NULL|NULL
1020|261|1219|212.02.4.08.2|404.01.00|NULL|NULL|NULL|NULL|NULL
1021|261|1220|212.02.4.08.3|404.01.00|NULL|NULL|NULL|NULL|NULL
1022|261|1221|212.02.4.09|404.01.00|NULL|NULL|NULL|NULL|NULL
1023|261|1223|212.02.4.10.1|404.01.00|NULL|NULL|NULL|NULL|NULL
1024|261|1224|212.02.4.10.2|404.01.00|NULL|NULL|NULL|NULL|NULL
1025|261|1225|212.02.4.11|404.01.00|NULL|NULL|NULL|NULL|NULL
