id_gest_defa_docum_nota_model|id_gest_defa_docum|idGestCategorii|peDoc|formula_nota|ContDebit|ContCredit|repartitorDebit|repartitorCredit|codFunctional|codEconomic|idAngajamenteDefalcare|prefixExplicatie|sufixExplicatie|explicatie|id_gest_tip_material
19|14|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '3031.03')|isnull(gest_itemsi.ContC, '4011')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|927
20|14|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '3031.04')|isnull(gest_itemsi.ContC, '4011')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|928
21|14|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '3031.05')|isnull(gest_itemsi.ContC, '4011')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|929
22|14|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '3031.11.2')|isnull(gest_itemsi.ContC, '4011')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|930
23|14|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '3031.11.3')|isnull(gest_itemsi.ContC, '4011')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|931
24|65|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '601')|isnull(gest_itemsi.ContC, '301')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|2
25|65|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '6021')|isnull(gest_itemsi.ContC, '3021')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|4
26|65|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '6023')|isnull(gest_itemsi.ContC, '3023')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|6
27|65|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '6025')|isnull(gest_itemsi.ContC, '3025')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|8
28|65|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '6026')|isnull(gest_itemsi.ContC, '3026')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|9
29|65|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '6022')|isnull(gest_itemsi.ContC, '3022')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|5
30|65|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '6024')|isnull(gest_itemsi.ContC, '3024')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|7
31|65|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '6026')|isnull(gest_itemsi.ContC, '3026')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|9
32|65|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '6027')|isnull(gest_itemsi.ContC, '3027')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|10
33|65|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '6028.01')|isnull(gest_itemsi.ContC, '3028.01')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|900
34|65|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '6028.02')|isnull(gest_itemsi.ContC, '3028.02')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|909
35|65|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '6028.03')|isnull(gest_itemsi.ContC, '3028.03')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|901
36|65|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '6028.04')|isnull(gest_itemsi.ContC, '3028.04')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|898
37|65|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '6028.06')|isnull(gest_itemsi.ContC, '3028.06')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|910
38|65|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '6028.05')|isnull(gest_itemsi.ContC, '3028.05')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|1514
39|65|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '6029.1')|isnull(gest_itemsi.ContC, '3029.01')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|911
40|65|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '6029.2')|isnull(gest_itemsi.ContC, '3029.02')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|912
41|65|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '6029.3')|isnull(gest_itemsi.ContC, '3029.03')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|913
42|6|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '628')|isnull(gest_itemsi.ContC, '4011')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|1519
43|6|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '203.1')|isnull(gest_itemsi.ContC, '4041')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|1124
44|6|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '203.2')|isnull(gest_itemsi.ContC, '4041')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|1125
45|6|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '205.1')|isnull(gest_itemsi.ContC, '4041')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|1127
46|6|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '205.2')|isnull(gest_itemsi.ContC, '4041')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|1128
47|6|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '206')|isnull(gest_itemsi.ContC, '4041')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|1129
48|6|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '2081.1.01.1')|isnull(gest_itemsi.ContC, '4041')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|1134
49|6|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '2081.1.01.2')|isnull(gest_itemsi.ContC, '4041')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|1135
50|6|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '2081.1.01.3')|isnull(gest_itemsi.ContC, '4041')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|1136
51|6|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '2081.1.02')|isnull(gest_itemsi.ContC, '4041')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|1137
52|6|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '2081.1.03.1')|isnull(gest_itemsi.ContC, '4041')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|1139
53|6|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '2081.1.03.2')|isnull(gest_itemsi.ContC, '4041')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|1140
54|6|NULL|1|gest_itemsi.Valoare_receptie_tva|isnull(gest_itemsi.ContD, '2081.1.03.3')|isnull(gest_itemsi.ContC, '4041')|gest_docum.id_predator|gest_docum.id_primitor|gest_itemsi.cod_functional|gest_itemsi.cod_economic|gest_itemsi.id_angajamente_defalcare|NULL|NULL|gest_itemsi.denmat|1141
