ID_GEST_DEFA_DOCUM|nr
------------------|--
6|33
33|1
47|1
50|1
65|12
69|1
207|5
210|1
212|2
220|1
225|2
254|2
261|141
265|141
268|2
279|1
282|3
283|2
286|1
289|4
293|14
295|2
296|2
301|1

(24 rows affected)
defa|FIELD_NAME|CAPTION|VISIBLE|REQUIRED|formula
65|COD_FUNCTIONAL|COD_FUNCTIONAL|1|0|
65|COD_ECONOMIC|COD_ECONOMIC|1|0|
270|ID_GEST_TIP_MATERIAL|ID_GEST_TIP_MATERIAL|1|0|
270|CANTITATE|CANTITATE|1|0|
270|PRET_UNITAR|PRET_UNITAR|1|0|
270|TIPMAT|TIPMAT|1|0|
270|DENMAT|DENMAT|1|0|
270|UM|UM|1|0|
270|DATA_EXPIRARE|DATA_EXPIRARE|1|0|
270|TIP_MATERIAL|TIP_MATERIAL|1|0|
270|PRODUS|PRODUS|1|0|
270|DETALII_ANGAJAMENT|DETALII_ANGAJAMENT|1|0|
270|LOT_FABRICATIE|LOT_FABRICATIE|1|0|
270|TVA_RECEPTIE|TVA_RECEPTIE|0|0|VALOARE_RECEPTIE * ISNULL(COTA_TVA,0)/100
270|VALOARE_RECEPTIE|VALOARE_RECEPTIE|1|0|PRET_RECEPTIE * CANTITATE
270|ContD|ContD|1|0|
270|ContC|ContC|1|0|
289|PRODUS|Produs|1|0|'M'
289|TIPMAT|Clasa Material|1|0|
289|ID_GEST_TIP_MATERIAL|Tip Material|1|0|
289|DENMAT|Denumire Material|1|0|
289|UM|UM|1|0|'BUC'
289|CANTITATE_SUPLIMENTARA|CANTITATE_SUPLIMENTARA|0|0|CANTITATE*CONVERSIE_UM
289|CANTITATE|Cantitate|1|1|'1'
289|PRET_UNITAR|Pret Unitar|1|0|
289|PRET_RECEPTIE|PRET_RECEPTIE|0|0|PRET_UNITAR
289|PRET_RECEPTIE_TVA|PRET_RECEPTIE_TVA|0|0|PRET_RECEPTIE*(1+ISNULL(COTA_TVA,0)/100)
289|VALOARE_RECEPTIE|VALOARE_RECEPTIE|0|0|PRET_RECEPTIE*CANTITATE
289|TVA_RECEPTIE|TVA_RECEPTIE|0|0|VALOARE_RECEPTIE*ISNULL(COTA_TVA,0)/100
289|DETALII_ANGAJAMENT|Detalii Angajament|1|0|
289|VALOARE_RECEPTIE_TVA|Valoare Receptie cu TVA|1|0|VALOARE_RECEPTIE + TVA_RECEPTIE
289|ContD|ContD|1|0|
289|RepD|RepD|1|0|
289|ContC|ContC|1|0|
289|RepC|RepC|1|0|

(110 rows affected)
